name,email,gender,ip_address,phone,job,ssn,credit_card,income_per_year,age,number_kids,city,signs
Glenn Rowan,growan0@flickr.com,Male,112.148.196.224,813-696-5199,Waiter,267-29-8707,5602241452639272,19711,29,2,Castelo Branco,Scorpio
Cristiano Scartifield,cscartifield1@comcast.net,Male,44.106.121.91,933-931-1180,Accountant,689-09-5993,3579239618421746,50917,30,4,Viseu,Scorpio
Marna Heaphy,mheaphy2@amazon.co.uk,Female,155.104.214.101,613-523-2910,Teacher,610-07-3584,3571615590907745,23226,35,0,Viseu,Cancer
Saul Avery,savery3@boston.com,Male,59.221.62.108,867-466-4882,Accountant,451-59-2254,201668308913590,57054,57,1,Lisboa,Sagittarius
Denver Batter,dbatter4@intel.com,Male,124.84.102.205,748-665-8473,Teacher,701-07-1647,"4,9050683323544E+017",24859,45,2,Aveiro,Aquarius
Constantin Zanuciolii,czanuciolii5@fema.gov,Male,154.115.254.194,725-664-1771,Engineer,359-72-4067,5100140532719210,56862,25,0,Viseu,Leo
Bernie Sayburn,bsayburn6@topsy.com,Male,225.206.63.140,509-152-3854,Teacher,116-79-0007,3585031377068939,33563,35,1,Braga,Leo
Skelly Landes,slandes7@xing.com,Male,97.15.74.244,842-216-9126,Doctor,756-97-3232,3581729396422946,79658,28,0,Lisboa,Scorpio
Morrie Mongin,mmongin8@youtu.be,Male,163.132.179.252,253-289-7973,Doctor,321-11-3841,4917729556168761,61369,42,4,Braga,Leo
Huntley Biernat,hbiernat9@harvard.edu,Male,235.179.133.95,117-870-0731,Lawyer,374-35-8731,3577454491521379,65405,48,3,Braga,Aries
Danika Basill,dbasilla@addthis.com,Female,73.30.52.74,805-868-0901,Doctor,121-52-6364,5417228247891412,84668,31,0,Viseu,Aries
Dena Bingall,dbingallb@etsy.com,Female,47.217.244.144,593-531-6581,Waiter,707-13-2191,3573444548877266,19590,37,2,Coimbra,Libra
Gilly Shadbolt,gshadboltc@wordpress.org,Female,239.63.222.175,276-659-5249,Doctor,660-58-1489,"5,60224862715477E+017",85274,59,4,Aveiro,Scorpio
Edita Alishoner,ealishonerd@fotki.com,Female,46.164.38.226,840-967-0147,Manager,732-68-2680,"5,60224780637441E+017",47689,59,0,Coimbra,Cancer
Bette Werendell,bwerendelle@wix.com,Female,57.138.209.0,787-353-3364,Lawyer,309-81-9472,5558830408607393,64189,49,3,Lisboa,Aquarius
Jonell Oneal,jonealf@java.com,Female,59.151.16.97,900-747-6187,Lawyer,183-52-7774,5602213659568737,63214,60,0,Viseu,Libra
Rodney Dearell,rdearellg@netlog.com,Male,236.232.202.68,130-872-7267,Accountant,658-58-5298,30302876489018,56519,53,1,Castelo Branco,Sagittarius
Jobie Hamer,jhamerh@ftc.gov,Female,25.116.106.206,606-941-8561,Lawyer,110-05-0091,201505577269801,72748,49,2,Porto,Leo
Martita MacCrann,mmaccranni@ycombinator.com,Female,202.111.35.97,659-773-9892,Waiter,309-25-7137,"5,60221693383698E+018",10118,50,0,Aveiro,Taurus
Ethelbert Pead,epeadj@mozilla.com,Male,35.243.248.214,210-726-3665,Accountant,116-80-2277,3563535421749605,45575,47,3,Castelo Branco,Virgo
Marty Curlis,mcurlisk@bbc.co.uk,Female,56.199.52.79,354-423-2453,Lawyer,169-53-1217,"5,60223048367307E+016",71290,23,4,Castelo Branco,Aries
Morris Markwick,mmarkwickl@epa.gov,Male,16.182.105.184,847-606-1390,Engineer,845-62-7310,5513050670561624,54167,31,0,Lisboa,Libra
Jermaine Dunlop,jdunlopm@fda.gov,Female,191.237.147.136,323-760-9803,Accountant,101-92-4743,"5,60221086438183E+018",53773,57,3,Braga,Cancer
Scott Legendre,slegendren@vistaprint.com,Male,176.148.208.144,864-121-7199,Doctor,872-91-7814,5048371287209827,91595,46,2,Braga,Capricorn
Trumann Vynoll,tvynollo@sun.com,Male,124.68.66.250,175-971-7599,Waiter,653-47-0592,"5,60221962760956E+016",12696,54,2,Porto,Scorpio
Grant O'Halleghane,gohalleghanep@prlog.org,Male,22.55.179.153,319-714-7543,Manager,786-87-2222,3561389219570753,56153,38,4,Castelo Branco,Leo
Elana Border,eborderq@uol.com.br,Female,193.167.153.80,703-918-1175,Teacher,562-49-6475,"6,33411278756649E+017",20061,43,1,Porto,Leo
Haskell Okeshott,hokeshottr@about.me,Male,247.166.243.79,767-540-5271,Teacher,817-40-3086,337941298766691,25544,59,2,Faro,Cancer
Farlee Swinney,fswinneys@guardian.co.uk,Male,121.92.249.27,833-715-7895,Engineer,825-73-3571,3585784637651049,55726,35,0,Braga,Cancer
Melamie Giraudel,mgiraudelt@instagram.com,Female,120.107.52.87,558-786-6538,Lawyer,703-50-0796,5007669658671809,74029,34,3,Braga,Sagittarius
Afton Clarridge,aclarridgeu@about.com,Female,104.121.91.187,548-631-1926,Lawyer,878-55-7322,3530409043812441,45909,54,0,Aveiro,Libra
Harp Grasner,hgrasnerv@bing.com,Male,9.189.176.158,237-454-9545,Manager,506-84-1801,6709100941255407,44922,49,3,Aveiro,Aries
Felita Godsafe,fgodsafew@sun.com,Female,7.54.160.228,468-590-1205,Lawyer,628-38-2228,"6,76189799287056E+017",65441,30,4,Viseu,Libra
Jarid Bedow,jbedowx@wired.com,Male,92.124.124.176,567-934-2101,Doctor,224-39-9967,"6,76150112494847E+018",95683,52,0,Coimbra,Virgo
Clarinda Hayes,chayesy@chronoengine.com,Female,58.198.108.98,667-217-1865,Waiter,278-80-3519,"4,91184096899031E+018",13490,25,2,Viseu,Pisces
Susana Bullivent,sbulliventz@bing.com,Female,37.246.10.254,507-609-9767,Lawyer,737-76-3215,3581918920286576,76843,44,2,Braga,Pisces
Raviv Scarsbrooke,rscarsbrooke10@msn.com,Male,66.50.228.0,552-341-6560,Manager,436-78-8035,3568052403627630,56229,37,1,Aveiro,Scorpio
Art MacInherney,amacinherney11@yahoo.com,Male,126.151.184.226,966-600-9996,Manager,202-75-4323,"6,70922301884872E+017",56364,29,0,Coimbra,Sagittarius
Noelani Mucklo,nmucklo12@taobao.com,Female,93.41.95.176,185-381-0918,Engineer,544-28-6566,201703972108597,40469,48,1,Castelo Branco,Pisces
Tiphany Illesley,tillesley13@google.ca,Female,119.219.64.145,215-580-1428,Doctor,474-70-9132,3573633060650214,95976,54,0,Aveiro,Pisces
Tan Jinks,tjinks14@oakley.com,Male,35.103.65.37,264-411-9756,Manager,723-07-7334,3578874968337596,56254,28,3,Braga,Sagittarius
Roanna Patrick,rpatrick15@mashable.com,Female,228.4.230.6,546-152-5857,Lawyer,562-58-3957,3585473008892057,46324,33,0,Viseu,Cancer
Alric Kingaby,akingaby16@g.co,Male,72.162.136.22,857-446-2411,Waiter,482-24-1058,4175000615514578,16024,42,1,Braga,Sagittarius
Jacquelin Sowman,jsowman17@businessweek.com,Female,48.229.29.152,408-167-5726,Teacher,661-93-8173,"4,90573694329867E+018",24787,55,3,Braga,Capricorn
Wolfgang Carhart,wcarhart18@biblegateway.com,Male,234.15.146.169,426-682-8824,Manager,674-26-2483,3576978918334041,46944,37,3,Braga,Leo
Emery Eva,eeva19@ycombinator.com,Male,2.127.41.55,600-639-7772,Manager,732-66-9539,5007660459614031,41968,48,1,Porto,Libra
Perceval Cappel,pcappel1a@opera.com,Male,247.245.235.12,799-307-2768,Waiter,766-54-6519,3584096572478663,16438,43,4,Faro,Taurus
